code,description,start_date,end_date,type,parent_code,level,category,notes
13588,655 Keller St E,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""655 Keller St E - This account is used to record transactions related to 655 Keller St E.\n\nPurpose: This account tracks asset items specifically related to 655 keller st e. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of 655 keller st e transactions\n- Adjustments related to 655 keller st e\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 3 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
13657,923-925 Graystone,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""923-925 Graystone - This account is used to record transactions related to 923-925 Graystone.\n\nPurpose: This account tracks asset items specifically related to 923-925 graystone. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of 923-925 graystone transactions\n- Adjustments related to 923-925 graystone\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 3 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
13726,Tesla Vehicle,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Tesla Vehicle - This account is used to record transactions related to Tesla Vehicle.\n\nPurpose: This account tracks asset items specifically related to tesla vehicle. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of tesla vehicle transactions\n- Adjustments related to tesla vehicle\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
13795,Tesla Vehicle Loan,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Tesla Vehicle Loan - This account is used to record transactions related to Tesla Vehicle Loan.\n\nPurpose: This account tracks asset items specifically related to tesla vehicle loan. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of tesla vehicle loan transactions\n- Adjustments related to tesla vehicle loan\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
13864,Escrow 217-219,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Escrow 217-219 - This account is used to record transactions related to Escrow 217-219.\n\nPurpose: This account tracks asset items specifically related to escrow 217-219. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of escrow 217-219 transactions\n- Adjustments related to escrow 217-219\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
13933,Escrow Clearing,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Escrow Clearing - This account is used to record transactions related to Escrow Clearing.\n\nPurpose: This account tracks asset items specifically related to escrow clearing. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of escrow clearing transactions\n- Adjustments related to escrow clearing\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14002,Loan to Others,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Asset - General"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Loan to Others - This account is used to record transactions related to Loan to Others.\n\nPurpose: This account tracks asset items specifically related to loan to others. It is classified under Asset - General in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of loan to others transactions\n- Adjustments related to loan to others\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Asset - General classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 2 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14071,Undeposited Funds,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Undeposited Funds - This account is used to record transactions related to Undeposited Funds.\n\nPurpose: This account tracks asset items specifically related to undeposited funds. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of undeposited funds transactions\n- Adjustments related to undeposited funds\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 4 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14140,Other Loan Payable:Tesla Vehicle Loan Payable,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Other Loan Payable:Tesla Vehicle Loan Payable - This account is used to record transactions related to Other Loan Payable:Tesla Vehicle Loan Payable.\n\nPurpose: This account tracks asset items specifically related to other loan payable:tesla vehicle loan payable. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of other loan payable:tesla vehicle loan payable transactions\n- Adjustments related to other loan payable:tesla vehicle loan payable\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14209,"Security Deposits:Security Deposit Plascencia, Lizbeth",2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposit Plascencia, Lizbeth - This account is used to record transactions related to Security Deposits:Security Deposit Plascencia, Lizbeth.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposit plascencia, lizbeth. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposit plascencia, lizbeth transactions\n- Adjustments related to security deposits:security deposit plascencia, lizbeth\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14278,Security Deposits:Security Deposits MD:Security Deposits 1025 Jaguar Blvd,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits MD:Security Deposits 1025 Jaguar Blvd - This account is used to record transactions related to Security Deposits:Security Deposits MD:Security Deposits 1025 Jaguar Blvd.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits md:security deposits 1025 jaguar blvd. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits md:security deposits 1025 jaguar blvd transactions\n- Adjustments related to security deposits:security deposits md:security deposits 1025 jaguar blvd\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 2 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14347,Security Deposits:Security Deposits MD:Security Deposits 217 E 12th ST,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits MD:Security Deposits 217 E 12th ST - This account is used to record transactions related to Security Deposits:Security Deposits MD:Security Deposits 217 E 12th ST.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits md:security deposits 217 e 12th st. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits md:security deposits 217 e 12th st transactions\n- Adjustments related to security deposits:security deposits md:security deposits 217 e 12th st\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 2 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14416,Security Deposits:Security Deposits MD:Security Deposits 2213 Armour Rd,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits MD:Security Deposits 2213 Armour Rd - This account is used to record transactions related to Security Deposits:Security Deposits MD:Security Deposits 2213 Armour Rd.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits md:security deposits 2213 armour rd. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits md:security deposits 2213 armour rd transactions\n- Adjustments related to security deposits:security deposits md:security deposits 2213 armour rd\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 2 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14485,Security Deposits:Security Deposits MD:Security Deposits 2435 NW 52 St,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits MD:Security Deposits 2435 NW 52 St - This account is used to record transactions related to Security Deposits:Security Deposits MD:Security Deposits 2435 NW 52 St.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits md:security deposits 2435 nw 52 st. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits md:security deposits 2435 nw 52 st transactions\n- Adjustments related to security deposits:security deposits md:security deposits 2435 nw 52 st\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 2 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14554,Security Deposits:Security Deposits MD:Security Deposits 337 Harry Ave,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits MD:Security Deposits 337 Harry Ave - This account is used to record transactions related to Security Deposits:Security Deposits MD:Security Deposits 337 Harry Ave.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits md:security deposits 337 harry ave. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits md:security deposits 337 harry ave transactions\n- Adjustments related to security deposits:security deposits md:security deposits 337 harry ave\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 3 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14623,Security Deposits:Security Deposits MD:Security Deposits 4528 24th St W,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits MD:Security Deposits 4528 24th St W - This account is used to record transactions related to Security Deposits:Security Deposits MD:Security Deposits 4528 24th St W.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits md:security deposits 4528 24th st w. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits md:security deposits 4528 24th st w transactions\n- Adjustments related to security deposits:security deposits md:security deposits 4528 24th st w\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 2 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14692,Security Deposits:Security Deposits MD:Security Deposits 655 Keller,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits MD:Security Deposits 655 Keller - This account is used to record transactions related to Security Deposits:Security Deposits MD:Security Deposits 655 Keller.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits md:security deposits 655 keller. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits md:security deposits 655 keller transactions\n- Adjustments related to security deposits:security deposits md:security deposits 655 keller\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14761,Security Deposits:Security Deposits Roman:Security Deposits 16910 Carmen Ave,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits Roman:Security Deposits 16910 Carmen Ave - This account is used to record transactions related to Security Deposits:Security Deposits Roman:Security Deposits 16910 Carmen Ave.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits roman:security deposits 16910 carmen ave. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits roman:security deposits 16910 carmen ave transactions\n- Adjustments related to security deposits:security deposits roman:security deposits 16910 carmen ave\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 4 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14830,Security Deposits:Security Deposits Roman:Security Deposits 923 Greystone,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Deposits"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Security Deposits:Security Deposits Roman:Security Deposits 923 Greystone - This account is used to record transactions related to Security Deposits:Security Deposits Roman:Security Deposits 923 Greystone.\n\nPurpose: This account tracks asset items specifically related to security deposits:security deposits roman:security deposits 923 greystone. It is classified under Current Asset - Deposits in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of security deposits:security deposits roman:security deposits 923 greystone transactions\n- Adjustments related to security deposits:security deposits roman:security deposits 923 greystone\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Deposits classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 2 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14899,Vehicle Loan,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Vehicles"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Vehicle Loan - This account is used to record transactions related to Vehicle Loan.\n\nPurpose: This account tracks asset items specifically related to vehicle loan. It is classified under Fixed Asset - Vehicles in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of vehicle loan transactions\n- Adjustments related to vehicle loan\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Vehicles classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
14968,Property Insurance Claims,2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Fixed Asset - Property"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Investing Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Property Insurance Claims - This account is used to record transactions related to Property Insurance Claims.\n\nPurpose: This account tracks asset items specifically related to property insurance claims. It is classified under Fixed Asset - Property in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of property insurance claims transactions\n- Adjustments related to property insurance claims\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Fixed Asset - Property classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
15037,Chase - Ennovation Business Checking - (6286),2024-01-01,,D,10000,2,Asset,"{
  ""subcategory"": ""Current Asset - Cash and Cash Equivalents"",
  ""normal_balance"": ""Debit"",
  ""cash_flow_classification"": ""Operating Activities"",
  ""cost_center"": ""CC-0000"",
  ""gaap_classification"": ""US-GAAP Asset"",
  ""detailed_description"": ""Chase - Ennovation Business Checking - (6286) - This account is used to record transactions related to Chase - Ennovation Business Checking - (6286).\n\nPurpose: This account tracks asset items specifically related to chase - ennovation business checking - (6286). It is classified under Current Asset - Cash and Cash Equivalents in accordance with US-GAAP standards.\n\nTransaction Examples:\n- Recording of chase - ennovation business checking - (6286) transactions\n- Adjustments related to chase - ennovation business checking - (6286)\n- Period-end reconciliation and reporting\n\nGAAP Rationale: This account follows US-GAAP classification standards for asset accounts. It maintains proper segregation of duties and ensures accurate financial reporting in compliance with generally accepted accounting principles.\n\nWhen NOT to Use: Do not use this account for transactions that belong to other asset categories or for items that should be classified under different account types. Ensure proper authorization and documentation before posting entries.\n\nCross-References: Related accounts include other asset accounts within the Current Asset - Cash and Cash Equivalents classification. Review the complete chart of accounts for proper account selection.\n\nFrequency: This account appears in 1 legacy account(s) across 1 company/companies, indicating high standardization importance."",
  ""examples"": [],
  ""gaap_rationale"": """"
}"
